Date,Ticker,Open,High,Low,Close,Volume
2024-09-16,ACN,349.41771582817756,353.5409471502958,348.21262959280483,352.6844177246094,2536400
2024-09-17,ACN,353.6604593223833,353.8397223223758,334.9466239564346,335.6736755371094,4528800
2024-09-18,ACN,333.6419600277634,337.62574462510986,331.6102213728347,334.8171691894531,2150800
2024-09-19,ACN,338.621663949057,339.0001283188415,330.88317392354094,333.8809509277344,2645700
2024-09-20,ACN,330.97281096789146,334.9864724832505,330.5246230711402,334.85699462890625,5231000
2024-09-23,ACN,336.0123013879762,338.0639479304473,332.69578384151305,337.8348693847656,1998500
2024-09-24,ACN,336.57004286761526,339.2391712432327,333.92082247311816,338.24322509765625,2842900
2024-09-25,ACN,333.78139394379656,338.3726909225209,332.8053558140615,335.6836242675781,3552700
2024-09-26,ACN,353.57083949522587,362.5144161427768,348.2823680638173,354.3675842285156,4454800
2024-09-27,ACN,354.88547656253166,356.8873380405145,347.88397637720044,348.2823791503906,2575200
2024-09-30,ACN,347.087205220001,352.62466293490013,346.3103685015472,352.0470275878906,2424900
2024-10-01,ACN,353.5509082983133,353.5509082983133,348.48154612472587,350.5531311035156,1827300
2024-10-02,ACN,351.28013805528974,355.74198749503546,349.9156967704956,354.84564208984375,2421300
2024-10-03,ACN,358.0924223230945,362.97258272205494,357.87331295663563,359.77557373046875,3646300
2024-10-04,ACN,362.72359118277575,366.29903412722155,358.3613422886469,360.7715148925781,2131400
2024-10-07,ACN,358.54058572882354,360.5324778717615,354.4074156109998,355.3535461425781,1536800
2024-10-08,ACN,358.0725071025252,359.18796189326747,356.07064567643675,358.9190673828125,2348300
2024-10-09,ACN,359.5166512144465,364.9744166498855,359.30748063991933,363.6000061035156,2046400
2024-10-10,ACN,363.55999755859375,364.4700012207031,358.9100036621094,361.07000732421875,2088000
2024-10-11,ACN,362.5199890136719,363.3999938964844,360.05999755859375,360.739990234375,1436500
2024-10-14,ACN,361.5799865722656,365.6199951171875,361.1600036621094,364.6000061035156,2256500
2024-10-15,ACN,365.42999267578125,371.0,365.42999267578125,368.6600036621094,2955900
2024-10-16,ACN,365.69000244140625,372.8699951171875,364.8800048828125,372.260009765625,2110700
2024-10-17,ACN,373.0,375.510009765625,371.7799987792969,375.1499938964844,1906900
2024-10-18,ACN,375.510009765625,377.3299865722656,373.6499938964844,376.8599853515625,1893300
2024-10-21,ACN,375.0,377.3399963378906,374.2099914550781,376.0299987792969,1785100
2024-10-22,ACN,374.6199951171875,374.8599853515625,371.1300048828125,371.7900085449219,1740200
2024-10-23,ACN,370.8399963378906,372.4800109863281,368.2300109863281,370.6300048828125,2211800
2024-10-24,ACN,367.5,373.44000244140625,363.75,364.2300109863281,2311800
2024-10-25,ACN,364.0,365.45001220703125,359.5899963378906,360.79998779296875,2129300
2024-10-28,ACN,364.0,366.989990234375,360.3900146484375,361.32000732421875,2717700
2024-10-29,ACN,360.9100036621094,365.0799865722656,359.04998779296875,363.0400085449219,2642900
2024-10-30,ACN,358.0,358.8299865722656,345.3399963378906,346.57000732421875,3916800
2024-10-31,ACN,344.6300048828125,347.8599853515625,342.6199951171875,344.82000732421875,3078200
2024-11-01,ACN,346.94000244140625,347.95001220703125,344.8299865722656,345.6700134277344,2579800
2024-11-04,ACN,345.260009765625,346.67999267578125,341.5799865722656,343.8999938964844,1931300
2024-11-05,ACN,342.7900085449219,347.4200134277344,342.2099914550781,345.489990234375,1553900
2024-11-06,ACN,355.8999938964844,357.2300109863281,353.0,356.1300048828125,3009700
2024-11-07,ACN,358.0,362.0,356.2900085449219,360.7099914550781,2250500
2024-11-08,ACN,360.7699890136719,362.760009765625,355.1199951171875,355.5299987792969,2289500
